,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
845,"Greeneville, TN",,,,,,,69087.0
846,"Greenfield Town, MA",,,,,,,70963.0
528,"Greensboro, NC",,,,,,78.20%,
141,"Greensboro-High Point, NC","35,596",4.7,"18,465","3,918,632,907",867,,767711.0
847,"Greensburg, IN",,,,,,,26794.0
848,"Greenville, MS",,,,,,,45063.0
142,"Greenville, NC","6,890",5.2,"3,783","858,200,518",867,,179914.0
849,"Greenville, OH",,,,,,,51323.0
143,"Greenville-Anderson-Mauldin, SC","36,527",2.9,"21,287","4,403,129,044",851,,906626.0
850,"Greenwood, MS",,,,,,,38830.0
851,"Greenwood, SC",,,,,,,95282.0
