State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
17,"Kendall County, Illinois",122933.0,34.5,89860.0,33369.0,6889.0,5.603865520242734,2.695777374667502,39882.0,3786.0,31556.0,36809.0,24523.0,11349.0,2570.0,512.0,2494.0
17,"Lawrence County, Illinois",16457.0,41.2,44504.0,21072.0,2286.0,13.89074557938871,2.205748313787446,6271.0,618.0,3068.0,4254.0,2591.0,1337.0,610.0,252.0,1773.0
17,"Brown County, Illinois",6791.0,38.7,56289.0,21906.0,557.0,8.202032101310557,1.7523192460609631,2066.0,159.0,1013.0,1442.0,931.0,360.0,295.0,92.0,528.0
17,"Marion County, Illinois",38305.0,41.8,44679.0,24112.0,6659.0,17.38415350476439,4.20832789453074,16001.0,1749.0,7953.0,11726.0,7789.0,2971.0,2120.0,735.0,3606.0
17,"Marshall County, Illinois",11925.0,46.3,55173.0,29025.0,1194.0,10.0125786163522,3.069182389937107,4900.0,609.0,2429.0,3542.0,2197.0,1056.0,528.0,204.0,1195.0
17,"Mason County, Illinois",13904.0,45.5,44695.0,25952.0,1897.0,13.64355581127733,3.8621979286536248,6034.0,597.0,3273.0,4231.0,2626.0,1397.0,449.0,126.0,1472.0
17,"Iroquois County, Illinois",28457.0,44.3,48857.0,26480.0,4316.0,15.16674280493376,3.243490178163545,11845.0,1345.0,5954.0,8757.0,5423.0,2509.0,1540.0,604.0,2630.0
17,"Christian County, Illinois",33562.0,42.7,50668.0,25614.0,4033.0,12.01656635480603,2.169119837911924,13892.0,657.0,8750.0,10086.0,4415.0,5096.0,879.0,299.0,3293.0
17,"Clay County, Illinois",13393.0,44.0,47427.0,25700.0,1842.0,13.75345329649817,2.4938400657059656,5624.0,502.0,3144.0,4133.0,2248.0,1461.0,685.0,261.0,1270.0
17,"Gallatin County, Illinois",5226.0,44.8,42450.0,24538.0,862.0,16.494450822809032,3.444316877152698,2272.0,187.0,1094.0,1453.0,872.0,454.0,223.0,44.0,709.0
17,"Jackson County, Illinois",59115.0,31.1,36008.0,23455.0,15300.0,25.881755899517888,3.9888353209845215,23942.0,2240.0,13704.0,17268.0,10353.0,6108.0,1612.0,426.0,5243.0
17,"Monroe County, Illinois",33739.0,42.3,74410.0,37043.0,1781.0,5.278757520969798,2.424493909125937,13227.0,809.0,9263.0,10607.0,6634.0,3486.0,923.0,145.0,2100.0
